REPORT_ID,Stats Area,Suburb,Postcode,LGA Name,Total Unit,Total Cas,Total Fats,Total SI,Total MI,Year,Month,Day,Time,Area Speed,Position T,Horizontal,Vertical A,Other Feat,Road Surfa,Moisture C,Weather Co,DayNight,Crash Type,Unit Resp,Entity Cod,CSEF Sever,Traffic Ct,DUI Involv,Drugs Invo,ACCLOC_X,ACCLOC_Y,UNIQUE_LOC,lng,lat,date1
2018-1-15/08/2019,2 Metropolitan,MITCHELL PARK,5043,CC MARION.,4,0,0,0,0,2018,10,Wednesday,11:20 AM,60,Divided Road,Straight road,Level,Driveway or Entrance,Sealed,Dry,Not Raining,Daylight,Right Angle,2,Driver Rider,1: PDO,No Control,,,1324362.05,1662130.48,1.32E+13,138.5577911,-35.0040286,2018-10-01 0:00
2018-2-15/08/2019,2 Metropolitan,GLANVILLE,5015,CITY OF PORT ADELAIDE ENFIELD,2,0,0,0,0,2018,1,Monday,12:45 AM,60,Divided Road,Straight road,Level,"Bridge, Culvert, Causeway",Sealed,Dry,Not Raining,Night,Rear End,2,Driver Rider,1: PDO,No Control,,,1319117.45,1679740.62,1.32E+13,138.4940607,-34.8467395,2018-01-01 0:00
2018-3-15/08/2019,2 Metropolitan,GOLDEN GROVE,5125,CITY OF TEA TREE GULLY,2,0,0,0,0,2018,1,Monday,2:14 AM,60,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Night,Right Angle,1,Driver Rider,1: PDO,Traffic Signals,,,1337889.71,1685361.47,1.34E+13,138.6973392,-34.7903999,2018-01-01 0:00
2018-4-15/08/2019,2 Metropolitan,ELIZABETH SOUTH,5112,CITY OF PLAYFORD.,2,4,0,1,3,2018,1,Monday,2:26 AM,60,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Night,Right Turn,1,Driver Rider,3: SI,Traffic Signals,,,1334568.88,1691271.22,1.33E+13,138.6588398,-34.7381112,2018-01-01 0:00
2018-5-15/08/2019,2 Metropolitan,CROYDON,5008,CITY OF CHARLES STURT,2,3,0,0,3,2018,1,Monday,4:00 AM,60,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Night,Right Turn,2,Driver Rider,2: MI,Traffic Signals,,,1325517.03,1673428.59,1.33E+13,138.5663609,-34.9017865,2018-01-01 0:00
2018-6-15/08/2019,2 Metropolitan,ELIZABETH VALE,5112,CITY OF PLAYFORD.,4,0,0,0,0,2018,1,Monday,4:00 AM,60,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Night,Hit Fixed Object,1,Driver Rider,1: PDO,No Control,,,1335007.27,1691025.15,1.34E+13,138.6637216,-34.7401969,2018-01-01 0:00
2018-7-15/08/2019,2 Metropolitan,PETERHEAD,5016,CITY OF PORT ADELAIDE ENFIELD,2,0,0,0,0,2018,1,Monday,6:45 AM,50,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Hit Fixed Object,1,Driver Rider,1: PDO,No Control,Y,,1320123.13,1681698.96,1.32E+13,138.504369,-34.8287806,2018-01-01 0:00
2018-8-15/08/2019,2 Metropolitan,BIRDWOOD,5234,THE BAROSSA COUNCIL.,2,1,0,0,1,2018,1,Monday,5:45 AM,100,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Hit Fixed Object,1,Driver Rider,2: MI,No Control,,Y,1368988,1681637.44,1.37E+13,139.0388497,-34.8139419,2018-01-01 0:00
2018-9-15/08/2019,2 Metropolitan,KENSINGTON,5068,"CC OF NORWOOD,PAYNEHAM & ST PETERS",3,0,0,0,0,2018,1,Monday,10:00 AM,50,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Angle,1,Driver Rider,1: PDO,Traffic Signals,,,1332255.7,1671076.68,1.33E+13,138.6410025,-34.920971,2018-01-01 0:00
2018-10-15/08/2019,3 Country,MOUNT PLEASANT,5235,THE BAROSSA COUNCIL.,3,0,0,0,0,2018,1,Monday,10:45 AM,80,Not Divided,Straight road,Crest of Hill,Not Applicable,Sealed,Dry,Not Raining,Daylight,Hit Fixed Object,1,Driver Rider,1: PDO,No Control,,,1366983.02,1687358.97,1.37E+13,139.0145978,-34.7630123,2018-01-01 0:00
